""Pin Information for the Cyclone® IV EP4CE115 Device 
Version 1.1   
Notes (1), (2), (3)"",,,,,,,,,,,,,,,,,,,,,,,,
Bank Number,VREFB Group,Pin Name / Function,Optional Function(s),Configuration Function,F780,F484,DQS for X8/X9 in 780 FBGA,DQS for X16/X18 in 780 FBGA,DQS for X32/X36 in 780 FBGA,DQS for X8/X9 in 484 FBGA,DQS for X16/X18 in 484 FBGA,DQS for X32/X36 in 484 FBGA,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L9n,,F1,F1,DQ0L,DQ1L,DQ1L,DQ0L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N1,IO,,,H5,H4,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,VREFB1N1,,L5,H5,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L10p,,J4,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L10n,,J3,,DQ0L,DQ1L,DQ1L,,,,,,,,,,,,,,,
B1,VREFB1N1,nSTATUS,,nSTATUS,M6,K6,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L11p,,G2,,DQ0L,DQ1L,DQ1L,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L11n,,G1,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L12p,,K2,J4,""  DQS0L/CQ1L,DPCLK0"",""  DQS0L/CQ1L,DPCLK0"",""  DQS0L/CQ1L,DPCLK0"",""  DQS0L/CQ1L,DPCLK0"",""  DQS0L/CQ1L,DPCLK0"",""  DQS0L/CQ1L,DPCLK0"",,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L12n,,K1,,DQ0L,DQ1L,DQ1L,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L13p,,K4,H2,,,,DQ0L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L13n,,K3,H1,,,,DQ0L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L14p,,L4,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L14n,,L3,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L15p,,M4,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L15n,,M3,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L16p,,J6,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L16n,,J5,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L17p,,J7,,,,,,,,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L17n,,K7,,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,DIFFIO_L18p,,K8,,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,DIFFIO_L18n,,L8,,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,VREFB1N2,,M5,J3,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,DIFFIO_L19p,,L7,,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,DIFFIO_L19n,,L6,,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,DIFFIO_L20p,,N4,,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,DIFFIO_L20n,,N3,,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,DIFFIO_L21p,,M8,,,,,,,,,,,,,,,,,,,
B1,VREFB1N2,IO,DIFFIO_L21n,,M7,,,,,,,,,,,,,,,,,,,
